feature,importance
case_rate_lag1,0.43452427
cases_lag3,0.08039492
case_rate_lag2,0.079296485
growth_rate_1w,0.0605508
residential_pct_lag2,0.035598516
infant_mortality_rank,0.027312074
cases_lag2,0.026765544
case_rate_lag3,0.025276478
workplaces_pct,0.024820196
n_districts,0.01632566
sex_ratio_weighted,0.014839694
parks_pct,0.012153832
transit_stations_pct_lag2,0.010748875
neighbor_case_rate_lag1,0.010423916
per_capita_nsdp_rank,0.009774865
cases_rolling_mean_3w,0.009765951
residential_pct,0.009093497
growth_rate_weighted,0.008749577
grocery_and_pharmacy_pct,0.008149369
transit_stations_pct,0.008058563
total_area_km2,0.007915524
cases_lag1,0.007903518
retail_and_recreation_pct_lag2,0.007327703
unemployment_rate_rank,0.007312523
literacy_rate_rank,0.007260742
grocery_and_pharmacy_pct_lag1,0.0060621086
parks_pct_lag1,0.005795791
population_density,0.0056480253
workplaces_pct_lag1,0.004375693
residential_pct_lag1,0.0042486903
transit_stations_pct_lag1,0.0034886897
retail_and_recreation_pct,0.0033623006
parks_pct_lag2,0.0032096955
workplaces_pct_lag2,0.0031817907
grocery_and_pharmacy_pct_lag2,0.0027066555
retail_and_recreation_pct_lag1,0.0025752245
total_population,0.001701258
latrine_access_rank,0.0016874002
literacy_rate_weighted,0.0009110129
urban_tele_density_rank,0.00043102054
safe_water_rank,0.00027155926
