feature,mean_abs_shap
case_rate_lag1,34.691982
growth_rate_1w,9.62498
case_rate_lag2,1.5916224
case_rate_lag3,0.96877503
cases_lag3,0.92808026
neighbor_case_rate_lag1,0.6103636
parks_pct,0.57679796
cases_lag2,0.5393949
cases_lag1,0.536835
residential_pct_lag2,0.41196334
workplaces_pct,0.36340243
retail_and_recreation_pct,0.28208825
transit_stations_pct,0.27517867
total_area_km2,0.19744074
per_capita_nsdp_rank,0.18211804
retail_and_recreation_pct_lag2,0.17664967
residential_pct,0.15132493
cases_rolling_mean_3w,0.122112006
grocery_and_pharmacy_pct,0.10851747
grocery_and_pharmacy_pct_lag1,0.09388017
literacy_rate_rank,0.07750068
growth_rate_weighted,0.07112964
transit_stations_pct_lag1,0.06938895
literacy_rate_weighted,0.066505685
n_districts,0.060840704
transit_stations_pct_lag2,0.058998093
residential_pct_lag1,0.057321817
workplaces_pct_lag2,0.05091809
workplaces_pct_lag1,0.040852875
sex_ratio_weighted,0.032005005
parks_pct_lag2,0.030382272
population_density,0.022356851
grocery_and_pharmacy_pct_lag2,0.0214998
infant_mortality_rank,0.018097594
retail_and_recreation_pct_lag1,0.017431958
parks_pct_lag1,0.016247224
total_population,0.013652918
latrine_access_rank,0.010701226
safe_water_rank,0.010433259
unemployment_rate_rank,0.009824698
urban_tele_density_rank,0.005450602
